participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
3,1,1,3,146,147,1,hinge,11,practice,name,Not Studied,go,present,NA,30,875478.491191658,875482.363636034,Return,NO RESPONSE,3.76182145217899,,9,1,1,0,0,1440452189,0.2
3,1,1,3,146,147,1,hinge,11,practice,noise,Not Studied,go,present,\ENTER,4,875560.812771077,875564.815279122,OK,NO RESPONSE,NaN,,8,1,1,0,0,1440452189,0.2
3,1,1,3,146,147,1,hinge,11,practice,noise,Not Studied,go,present,\ENTER,4,875568.557635984,875571.679582087,Return,Return,2.95463212567847,,8,1,2,0,0,1440452189,0.2
3,1,1,3,146,147,1,hinge,11,practice,study,Not Studied,go,present,f,NaN,875219.759053517,875226.012971866,OK,f,6.12347827712074,,11,0,1,0,0,1440452189,0.2
3,1,1,3,146,147,1,hinge,11,practice,study,Not Studied,go,present,f,NaN,875354.973794869,875358.095747915,OK,f,3.02174443902913,,11,0,2,0,0,1440452189,0.2
3,1,1,3,125,111,2,cork screw,14,practice,name,Not Studied,nogo,present,NA,30,875482.493695779,875486.296068536,Return,pen,3.69501068384852,,6,1,1,0,0,1440452189,0.2
3,1,1,3,125,111,2,cork screw,14,practice,noise,Not Studied,nogo,present,z,4,875574.551377191,875578.483837463,OK,NO RESPONSE,NaN,,4,0,1,0,0,1440452189,0.2
3,1,1,3,125,111,2,cork screw,14,practice,noise,Not Studied,nogo,present,z,4,875580.745259119,875590.141138427,OK,NO RESPONSE,NaN,,4,0,2,0,0,1440452189,0.2
3,1,1,3,125,111,2,cork screw,14,practice,study,Not Studied,nogo,present,f,NaN,875229.485152307,875234.128050049,OK,f,4.50899790192489,,2,0,1,0,0,1440452189,0.2
3,1,1,3,125,111,2,cork screw,14,practice,study,Not Studied,nogo,present,f,NaN,875360.387201817,875363.599196061,OK,j,3.0880686303135,,2,0,2,0,0,1440452189,0.2
3,1,1,3,23,53,3,bucket,9,practice,name,CFS,nogo,absent,NA,30,875486.319985065,875486.326058222,OK,NO RESPONSE,NaN,,9,0,1,0,0,1440452189,0.2
3,1,1,3,23,53,3,bucket,9,practice,noise,CFS,nogo,absent,z,4,875592.134826207,875592.142395619,OK,NO RESPONSE,NaN,,1,0,1,0,0,1440452189,0.2
3,1,1,3,23,53,3,bucket,9,practice,noise,CFS,nogo,absent,z,4,875593.843487912,875603.239345186,OK,NO RESPONSE,NaN,,1,0,2,0,0,1440452189,0.2
3,1,1,3,23,53,3,bucket,9,practice,study,CFS,nogo,absent,j,NaN,875236.949834875,875241.302553714,OK,f,4.21993100387044,,1,0.6,1,0,0,1440452189,0.2
