participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
1,1,1,1,noise,10,0,Not Studied,1,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,2,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,3,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,4,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,5,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,6,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,7,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,8,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,9,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,10,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,11,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,12,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,13,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,14,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,15,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,16,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,17,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,18,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,19,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,20,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,21,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,22,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,23,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,24,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,25,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,26,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,27,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,28,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,29,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,30,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,31,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,32,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,33,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,34,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,35,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,36,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,37,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,38,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,39,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,40,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,41,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,42,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,43,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,44,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,45,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,46,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,47,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,48,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,49,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,50,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,51,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,52,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,53,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,54,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,55,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,56,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,57,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,58,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,59,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,60,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,61,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,62,0,NaN,NaN,NaN
1,1,1,1,noise,10,0,Not Studied,63,0,NaN,NaN,NaN
