participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
2,\LEFT,right,5,1,0.6,9,5150.41677019059,5150.72024745384,CAUGHT,LeftArrow,0.21785031125637,0,1,1438100420,0.2
2,\RIGHT,right,1,2,0.6,5,5151.90429410119,5152.2527061938,CAUGHT,RightArrow,0.262582907833348,0,1,1438100420,0.2
2,\LEFT,left,8,3,0.6,1,5153.44608786026,5153.78697286432,CAUGHT,LeftArrow,0.25610803791642,1,0,1438100420,0.2
2,\RIGHT,left,9,4,0.6,8,5154.97677706346,5155.31963687813,CAUGHT,RightArrow,0.257767715133923,1,0,1438100420,0.2
2,\LEFT,right,1,5,0.6,9,5156.50921907739,5156.85211690575,CAUGHT,LeftArrow,0.258472488740153,0,1,1438100420,0.2
2,\LEFT,left,7,6,0.6,1,5158.04543889073,5158.38473074151,CAUGHT,LeftArrow,0.254321014874222,1,0,1438100420,0.2
2,\LEFT,right,10,7,0.6,9,5159.57453570093,5159.91743010805,CAUGHT,LeftArrow,0.257693208323872,0,1,1438100420,0.2
2,\LEFT,right,7,8,0.6,11,5161.10842945726,5161.4511246727,CAUGHT,LeftArrow,0.257493256373891,0,1,1438100420,0.2
2,\RIGHT,right,10,9,0.6,6,5162.63989756074,5162.98296188901,CAUGHT,RightArrow,0.258658375630148,0,1,1438100420,0.2
2,\RIGHT,right,4,10,0.6,5,5164.173402057,5164.51686514875,CAUGHT,RightArrow,0.258345523052412,0,1,1438100420,0.2
2,\RIGHT,left,10,11,0.6,11,5165.9551400576,5166.29781322511,CAUGHT,RightArrow,0.257870352067584,1,0,1438100420,0.2
2,\LEFT,left,6,12,0.6,4,5167.48719357173,5167.83001803369,CAUGHT,LeftArrow,0.257871112341491,1,0,1438100420,0.2
2,\RIGHT,right,9,13,0.6,2,5169.02063762624,5169.36308689319,CAUGHT,RightArrow,0.257744146653749,0,1,1438100420,0.2
2,\LEFT,right,6,14,0.6,1,5170.55541482047,5170.89522441755,CAUGHT,LeftArrow,0.254899963202661,0,1,1438100420,0.2
2,\RIGHT,right,8,15,0.6,7,5172.0862686229,5172.42770710613,CAUGHT,RightArrow,0.256352846008667,0,1,1438100420,0.2
2,\RIGHT,left,8,16,0.6,1,5173.61882847924,5173.96034184941,CAUGHT,RightArrow,0.256666838995443,1,0,1438100420,0.2
2,\LEFT,left,10,17,0.6,10,5175.15025438754,5175.49285190783,CAUGHT,LeftArrow,0.257533170736679,1,0,1438100420,0.2
2,\LEFT,left,3,18,0.6,9,5176.69992306031,5177.0423293718,CAUGHT,LeftArrow,0.257396321491797,1,0,1438100420,0.2
2,\RIGHT,right,6,19,0.6,5,5178.231897506,5178.5754601936,CAUGHT,RightArrow,0.258049396494243,0,1,1438100420,0.2
2,\RIGHT,left,6,20,0.6,4,5179.76437867402,5180.10732934139,CAUGHT,RightArrow,0.25732485577646,1,0,1438100420,0.2
2,\RIGHT,left,3,21,0.6,2,5181.53232759276,5181.87313618933,CAUGHT,RightArrow,0.255629825835967,1,0,1438100420,0.2
2,\RIGHT,left,2,22,0.6,6,5183.06316695,5183.40568654225,CAUGHT,RightArrow,0.257993896523658,1,0,1438100420,0.2
2,\LEFT,left,2,23,0.6,10,5184.59595298772,5184.93826084378,CAUGHT,LeftArrow,0.257103236029252,1,0,1438100420,0.2
2,\RIGHT,right,7,24,0.6,1,5186.13062412378,5186.47088608365,CAUGHT,RightArrow,0.25531925408086,0,1,1438100420,0.2
2,\RIGHT,left,5,25,0.6,3,5187.66123653936,5188.00358050841,CAUGHT,RightArrow,0.257594752895784,1,0,1438100420,0.2
2,\RIGHT,right,5,26,0.6,4,5189.19374545737,5189.53621677224,CAUGHT,RightArrow,0.257329797554121,0,1,1438100420,0.2
2,\RIGHT,left,7,27,0.6,9,5190.72612588914,5191.06858960128,CAUGHT,RightArrow,0.257318013313125,1,0,1438100420,0.2
2,\RIGHT,right,3,28,0.6,9,5192.25899555696,5192.60114451584,CAUGHT,RightArrow,0.256985393623836,0,1,1438100420,0.2
2,\RIGHT,right,2,29,0.6,2,5193.79253920731,5194.13368612562,CAUGHT,RightArrow,0.256382116540408,0,1,1438100420,0.2
