participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
2,1,1,2,14,139,1,binoculars,3,practice,name,CFS,go,present,NA,30,5287.79890763892,5287.910185081,Return,NO RESPONSE,0.00591720924876427,,10,1,1,0,0,1438106868,0.2
2,1,1,2,14,139,1,binoculars,3,practice,noise,CFS,go,present,\ENTER,4,5292.5178048469,5296.60402975407,OK,NO RESPONSE,NaN,,8,1,1,0,0,1438106868,0.2
2,1,1,2,14,139,1,binoculars,3,practice,noise,CFS,go,present,\ENTER,4,5297.78319430464,5298.13735900727,CAUGHT,Return,0.267764172259376,,8,1,2,0,0,1438106868,0.2
2,1,1,2,14,139,1,binoculars,3,practice,study,CFS,go,present,j,NaN,5228.83898850162,5229.18347872298,CAUGHT,j,0.258268735421552,,9,0.6,1,0,0,1438106868,0.2
2,1,1,2,14,139,1,binoculars,3,practice,study,CFS,go,present,j,NaN,5257.69533366887,5258.04047848578,CAUGHT,j,0.258499098315042,,9,0.6,2,0,0,1438106868,0.2
2,1,1,2,110,102,2,lazy chair,7,practice,name,CFS,go,absent,NA,30,5287.93524673919,5287.94543744621,OK,NO RESPONSE,NaN,,8,0,1,0,0,1438106868,0.2
2,1,1,2,110,102,2,lazy chair,7,practice,noise,CFS,go,absent,\ENTER,4,5299.32313831809,5299.33387110018,OK,NO RESPONSE,NaN,,8,1,1,0,0,1438106868,0.2
2,1,1,2,110,102,2,lazy chair,7,practice,noise,CFS,go,absent,\ENTER,4,5300.5172004294,5300.87004301628,CAUGHT,Return,0.267025946616741,,8,1,2,0,0,1438106868,0.2
2,1,1,2,110,102,2,lazy chair,7,practice,study,CFS,go,absent,j,NaN,5230.54547804482,5230.89287365165,CAUGHT,j,0.260769275215353,,9,0.6,1,0,0,1438106868,0.2
2,1,1,2,110,102,2,lazy chair,7,practice,study,CFS,go,absent,j,NaN,5259.36046585003,5259.70703275867,CAUGHT,j,0.260604675986542,,9,0.6,2,0,0,1438106868,0.2
2,1,1,2,146,147,3,hinge,10,practice,name,Not Studied,name,present,NA,30,5288.07340099261,5288.18454804777,Return,NO RESPONSE,0.00618254472738045,,7,1,1,0,0,1438106868,0.2
2,1,1,2,146,147,3,hinge,10,practice,name,Not Studied,name,present,NA,30,5307.3735037816,5307.48447407315,Return,NO RESPONSE,0.00599323660662776,,7,1,2,0,0,1438106868,0.2
2,1,1,2,146,147,3,hinge,10,practice,noise,Not Studied,name,present,NA,4,5302.15943431084,5306.21920930028,OK,NO RESPONSE,NaN,,11,1,1,0,0,1438106868,0.2
2,1,1,2,146,147,3,hinge,10,practice,study,Not Studied,name,present,f,NaN,5232.24110099778,5232.58791081383,OK,f,0.261031949736207,,10,0,1,0,0,1438106868,0.2
2,1,1,2,146,147,3,hinge,10,practice,study,Not Studied,name,present,f,NaN,5261.02608232546,5261.37263098753,OK,f,0.259817792834838,,10,0,2,0,0,1438106868,0.2
2,1,1,2,201,203,4,bellow,12,practice,name,Not Studied,go,present,NA,30,5288.3121078889,5288.42255473209,Return,NO RESPONSE,0.0060905516238563,,3,1,1,0,0,1438106868,0.2
2,1,1,2,201,203,4,bellow,12,practice,noise,Not Studied,go,present,\ENTER,4,5308.63915363304,5312.70505300627,OK,NO RESPONSE,NaN,,2,1,1,0,0,1438106868,0.2
2,1,1,2,201,203,4,bellow,12,practice,noise,Not Studied,go,present,\ENTER,4,5313.89347578833,5314.24484990679,CAUGHT,Return,0.265397820751787,,2,1,2,0,0,1438106868,0.2
2,1,1,2,201,203,4,bellow,12,practice,study,Not Studied,go,present,f,NaN,5233.94192422201,5234.28881842842,OK,f,0.260712634834817,,5,0,1,0,0,1438106868,0.2
2,1,1,2,201,203,4,bellow,12,practice,study,Not Studied,go,present,f,NaN,5262.68993800729,5263.03563440268,OK,f,0.259462745074416,,5,0,2,0,0,1438106868,0.2
2,1,1,2,34,4,5,chess board,2,practice,name,CFS,go,present,NA,30,5288.55082847012,5288.66242560723,Return,NO RESPONSE,0.00567848334594601,,9,1,1,0,0,1438106868,0.2
2,1,1,2,34,4,5,chess board,2,practice,noise,CFS,go,present,\ENTER,4,5315.5357792348,5319.60174361142,OK,NO RESPONSE,NaN,,9,1,1,0,0,1438106868,0.2
2,1,1,2,34,4,5,chess board,2,practice,noise,CFS,go,present,\ENTER,4,5321.0438255902,5321.3978701696,CAUGHT,Return,0.268182322727625,,9,1,2,0,0,1438106868,0.2
2,1,1,2,34,4,5,chess board,2,practice,study,CFS,go,present,j,NaN,5235.64130292645,5235.98832105745,CAUGHT,j,0.260446919219248,,3,0.6,1,0,0,1438106868,0.2
2,1,1,2,34,4,5,chess board,2,practice,study,CFS,go,present,j,NaN,5264.34466774524,5264.69176836593,CAUGHT,j,0.260745326598226,,3,0.6,2,0,0,1438106868,0.2
2,1,1,2,122,32,6,lure,17,practice,name,Not Studied,go,absent,NA,30,5288.68441119853,5288.69490525471,OK,NO RESPONSE,NaN,,11,0,1,0,0,1438106868,0.2
2,1,1,2,122,32,6,lure,17,practice,noise,Not Studied,go,absent,\ENTER,4,5322.57755778839,5322.58829437185,OK,NO RESPONSE,NaN,,7,1,1,0,0,1438106868,0.2
2,1,1,2,122,32,6,lure,17,practice,noise,Not Studied,go,absent,\ENTER,4,5323.76931627077,5324.12302670993,CAUGHT,Return,0.267744025009961,,7,1,2,0,0,1438106868,0.2
2,1,1,2,122,32,6,lure,17,practice,study,Not Studied,go,absent,f,NaN,5237.33934012815,5237.68589411214,OK,f,0.260639268433806,,4,0,1,0,0,1438106868,0.2
