participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
2,9,0.6,right,\LEFT,1,1,0,5150.35282396017,5150.35282396017,-0.00487321677883301
2,9,0.6,right,\LEFT,1,2,0,5150.44449062684,5150.41677019059,0.0439462304111657
2,9,0.6,right,\LEFT,1,3,0,5150.53615729351,5150.44530135724,-0.00813550001203112
2,9,0.6,right,\LEFT,1,4,0,5150.62782396017,5150.53697780609,-0.0116568844796348
2,9,0.6,right,\LEFT,1,5,0,5150.71949062684,5150.62862536455,-0.0116857748762413
2,9,0.6,right,\LEFT,1,6,0,5150.81115729351,5150.72024745384,-0.0117112440411802
2,9,0.6,right,\LEFT,1,7,0,5150.90282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,8,0,5150.99449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,9,0,5151.08615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,10,0.015,5151.17782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,11,0.03,5151.26949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,12,0.045,5151.36115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,13,0.06,5151.45282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,14,0.075,5151.54449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,15,0.09,5151.63615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,16,0.105,5151.72782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,17,0.12,5151.81949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,18,0.135,5151.91115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,19,0.15,5152.00282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,20,0.165,5152.09449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,21,0.18,5152.18615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,22,0.195,5152.27782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,23,0.21,5152.36949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,24,0.225,5152.46115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,25,0.24,5152.55282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,26,0.255,5152.64449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,27,0.27,5152.73615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,28,0.285,5152.82782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,29,0.3,5152.91949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,30,0.315,5153.01115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,31,0.33,5153.10282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,32,0.345,5153.19449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,33,0.36,5153.28615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,34,0.375,5153.37782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,35,0.39,5153.46949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,36,0.405,5153.56115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,37,0.42,5153.65282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,38,0.435,5153.74449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,39,0.45,5153.83615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,40,0.465,5153.92782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,41,0.48,5154.01949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,42,0.495,5154.11115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,43,0.51,5154.20282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,44,0.525,5154.29449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,45,0.54,5154.38615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,46,0.555,5154.47782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,47,0.57,5154.56949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,48,0.585,5154.66115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,49,0.6,5154.75282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,50,0.6,5154.84449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,51,0.6,5154.93615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,52,0.6,5155.02782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,53,0.6,5155.11949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,54,0.6,5155.21115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,55,0.6,5155.30282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,56,0.6,5155.39449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,57,0.6,5155.48615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,58,0.6,5155.57782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,59,0.6,5155.66949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,60,0.6,5155.76115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,61,0.6,5155.85282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,62,0.6,5155.94449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,63,0.6,5156.03615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,64,0.6,5156.12782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,65,0.6,5156.21949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,66,0.6,5156.31115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,67,0.6,5156.40282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,68,0.6,5156.49449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,69,0.6,5156.58615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,70,0.6,5156.67782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,71,0.6,5156.76949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,72,0.6,5156.86115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,73,0.6,5156.95282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,74,0.6,5157.04449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,75,0.6,5157.13615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,76,0.6,5157.22782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,77,0.6,5157.31949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,78,0.6,5157.41115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,79,0.6,5157.50282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,80,0.6,5157.59449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,81,0.6,5157.68615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,82,0.6,5157.77782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,83,0.6,5157.86949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,84,0.6,5157.96115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,85,0.6,5158.05282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,86,0.6,5158.14449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,87,0.6,5158.23615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,88,0.6,5158.32782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,89,0.6,5158.41949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,90,0.6,5158.51115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,91,0.6,5158.60282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,92,0.6,5158.69449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,93,0.6,5158.78615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,94,0.6,5158.87782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,95,0.6,5158.96949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,96,0.6,5159.06115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,97,0.6,5159.15282396017,NaN,NaN
2,9,0.6,right,\LEFT,1,98,0.6,5159.24449062684,NaN,NaN
2,9,0.6,right,\LEFT,1,99,0.6,5159.33615729351,NaN,NaN
2,9,0.6,right,\LEFT,1,100,0.6,5159.42782396017,NaN,NaN
2,9,0.6,right,\LEFT,1,101,0.6,5159.51949062684,NaN,NaN
2,9,0.6,right,\LEFT,1,102,0.6,5159.61115729351,NaN,NaN
2,9,0.6,right,\LEFT,1,103,0.6,5159.70282396017,NaN,NaN
