participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
200,1,14,5,60,191,1,ethernet cable,10,practice,name,Not Studied,name,present,NA,30,861758.023718517,861758.133809285,Return,NO RESPONSE,0.00555971602443606,,8,1,1,0,0,1439104265,0.2
200,1,14,5,60,191,1,ethernet cable,10,practice,name,Not Studied,name,present,NA,30,861768.120119628,861768.230137047,Return,NO RESPONSE,0.00541814987082034,,8,1,2,0,0,1439104265,0.2
200,1,14,5,60,191,1,ethernet cable,10,practice,noise,Not Studied,name,present,NA,4,861762.946851723,861766.959358745,OK,NO RESPONSE,NaN,,7,1,1,0,0,1439104265,0.2
200,1,14,5,60,191,1,ethernet cable,10,practice,study,Not Studied,name,present,f,NaN,861698.826668405,861699.196894359,OK,f,0.286215351312421,,9,0,1,0,0,1439104265,0.2
200,1,14,5,60,191,1,ethernet cable,10,practice,study,Not Studied,name,present,f,NaN,861727.52463598,861727.894882459,OK,f,0.274414952960797,,9,0,2,0,0,1439104265,0.2
200,1,14,5,112,37,2,rake,12,practice,name,Not Studied,go,present,NA,30,861758.273901512,861758.383971151,Return,NO RESPONSE,0.00537800427991897,,9,1,1,0,0,1439104265,0.2
200,1,14,5,112,37,2,rake,12,practice,noise,Not Studied,go,present,\ENTER,4,861769.390858389,861773.403403745,OK,NO RESPONSE,NaN,,5,1,1,0,0,1439104265,0.2
200,1,14,5,112,37,2,rake,12,practice,noise,Not Studied,go,present,\ENTER,4,861774.634225683,861774.994401044,CAUGHT,Return,0.265608572866768,,5,1,2,0,0,1439104265,0.2
200,1,14,5,112,37,2,rake,12,practice,study,Not Studied,go,present,f,NaN,861700.527689161,861700.897947412,OK,f,0.274743966059759,,3,0,1,0,0,1439104265,0.2
200,1,14,5,112,37,2,rake,12,practice,study,Not Studied,go,present,f,NaN,861729.21570213,861729.585946798,OK,f,0.274464154033922,,3,0,2,0,0,1439104265,0.2
200,1,14,5,81,96,3,stroller,9,practice,name,CFS,nogo,absent,NA,30,861758.418272718,861758.424023201,OK,NO RESPONSE,NaN,,2,0,1,0,0,1439104265,0.2
200,1,14,5,81,96,3,stroller,9,practice,noise,CFS,nogo,absent,z,4,861776.167050163,861776.175124263,OK,NO RESPONSE,NaN,,7,0,1,0,0,1439104265,0.2
200,1,14,5,81,96,3,stroller,9,practice,noise,CFS,nogo,absent,z,4,861777.385908403,861786.771691842,OK,NO RESPONSE,NaN,,7,0,2,0,0,1439104265,0.2
200,1,14,5,81,96,3,stroller,9,practice,study,CFS,nogo,absent,j,NaN,861702.208756636,861702.579024546,CAUGHT,j,0.274471700191498,,1,0.6,1,0,0,1439104265,0.2
200,1,14,5,81,96,3,stroller,9,practice,study,CFS,nogo,absent,j,NaN,861730.896733384,861731.266960545,CAUGHT,j,0.274476831546053,,1,0.6,2,0,0,1439104265,0.2
200,1,14,5,201,203,4,bellow,6,practice,name,CFS,go,absent,NA,30,861758.452851984,861758.464029069,OK,NO RESPONSE,NaN,,9,0,1,0,0,1439104265,0.2
200,1,14,5,201,203,4,bellow,6,practice,noise,CFS,go,absent,\ENTER,4,861787.954688571,861787.962506705,OK,NO RESPONSE,NaN,,3,1,1,0,0,1439104265,0.2
200,1,14,5,201,203,4,bellow,6,practice,noise,CFS,go,absent,\ENTER,4,861789.163278286,861789.533487336,CAUGHT,Return,0.275590344448574,,3,1,2,0,0,1439104265,0.2
200,1,14,5,201,203,4,bellow,6,practice,study,CFS,go,absent,j,NaN,861703.889799963,861704.260051875,CAUGHT,j,0.274588816799223,,5,0.6,1,0,0,1439104265,0.2
200,1,14,5,201,203,4,bellow,6,practice,study,CFS,go,absent,j,NaN,861732.577806896,861732.948038886,CAUGHT,j,0.274578252108768,,5,0.6,2,0,0,1439104265,0.2
200,1,14,5,117,135,5,plane,3,practice,name,CFS,go,present,NA,30,861758.614118159,861758.7242044,Return,NO RESPONSE,0.00543837354052812,,2,1,1,0,0,1439104265,0.2
200,1,14,5,117,135,5,plane,3,practice,noise,CFS,go,present,\ENTER,4,861790.814307176,861794.826830497,OK,NO RESPONSE,NaN,,8,1,1,0,0,1439104265,0.2
200,1,14,5,117,135,5,plane,3,practice,noise,CFS,go,present,\ENTER,4,861796.037581736,861796.407804369,CAUGHT,Return,0.275914829690009,,8,1,2,0,0,1439104265,0.2
200,1,14,5,117,135,5,plane,3,practice,study,CFS,go,present,j,NaN,861705.57088736,861705.94112086,CAUGHT,j,0.274490716517903,,5,0.6,1,0,0,1439104265,0.2
200,1,14,5,117,135,5,plane,3,practice,study,CFS,go,present,j,NaN,861734.258870749,861734.629088854,CAUGHT,j,0.274350659572519,,5,0.6,2,0,0,1439104265,0.2
200,1,14,5,122,32,6,lure,11,practice,name,Not Studied,go,present,NA,30,861758.87425425,861758.984343811,Return,NO RESPONSE,0.00541422585956752,,6,1,1,0,0,1439104265,0.2
200,1,14,5,122,32,6,lure,11,practice,noise,Not Studied,go,present,\ENTER,4,861797.688612739,861801.701147229,OK,NO RESPONSE,NaN,,1,1,1,0,0,1439104265,0.2
200,1,14,5,122,32,6,lure,11,practice,noise,Not Studied,go,present,\ENTER,4,861802.901897681,861803.27209526,Return,Return,0.275596683146432,,1,1,2,0,0,1439104265,0.2
200,1,14,5,122,32,6,lure,11,practice,study,Not Studied,go,present,f,NaN,861707.251935215,861707.622095366,OK,f,0.274424612172879,,11,0,1,0,0,1439104265,0.2
200,1,14,5,122,32,6,lure,11,practice,study,Not Studied,go,present,f,NaN,861735.939915887,861736.310156329,OK,f,0.274436082225293,,11,0,2,0,0,1439104265,0.2
200,1,14,5,39,18,7,mouse,15,practice,name,Not Studied,go,absent,NA,30,861759.018007878,861759.024389824,OK,NO RESPONSE,NaN,,11,0,1,0,0,1439104265,0.2
200,1,14,5,39,18,7,mouse,15,practice,noise,Not Studied,go,absent,\ENTER,4,861804.444889568,861804.452846853,OK,NO RESPONSE,NaN,,10,1,1,0,0,1439104265,0.2
200,1,14,5,39,18,7,mouse,15,practice,noise,Not Studied,go,absent,\ENTER,4,861805.663610468,861806.033828272,CAUGHT,Return,0.275616906932555,,10,1,2,0,0,1439104265,0.2
200,1,14,5,39,18,7,mouse,15,practice,study,Not Studied,go,absent,f,NaN,861708.94298084,861709.313230941,OK,f,0.274525429005735,,5,0,1,0,0,1439104265,0.2
200,1,14,5,39,18,7,mouse,15,practice,study,Not Studied,go,absent,f,NaN,861737.620958913,861737.991181546,OK,f,0.274545954540372,,5,0,2,0,0,1439104265,0.2
200,1,14,5,40,88,8,cookie cutter,17,practice,name,Not Studied,go,absent,NA,30,861759.048478707,861759.054393395,OK,NO RESPONSE,NaN,,5,0,1,0,0,1439104265,0.2
200,1,14,5,40,88,8,cookie cutter,17,practice,noise,Not Studied,go,absent,\ENTER,4,861807.206130267,861807.214591334,OK,NO RESPONSE,NaN,,1,1,1,0,0,1439104265,0.2
200,1,14,5,40,88,8,cookie cutter,17,practice,noise,Not Studied,go,absent,\ENTER,4,861808.405347035,861808.775569668,Return,Return,0.275880117318593,,1,1,2,0,0,1439104265,0.2
200,1,14,5,40,88,8,cookie cutter,17,practice,study,Not Studied,go,absent,f,NaN,861710.634037331,861711.004272038,OK,f,0.27441827324219,,8,0,1,0,0,1439104265,0.2
200,1,14,5,40,88,8,cookie cutter,17,practice,study,Not Studied,go,absent,f,NaN,861739.302016125,861739.672247512,OK,f,0.274551387759857,,8,0,2,0,0,1439104265,0.2
200,1,14,5,125,111,9,cork screw,7,practice,name,CFS,go,absent,NA,30,861759.092165295,861759.10442601,OK,NO RESPONSE,NaN,,7,0,1,0,0,1439104265,0.2
200,1,14,5,125,111,9,cork screw,7,practice,noise,CFS,go,absent,\ENTER,4,861809.947691159,861809.95628685,OK,NO RESPONSE,NaN,,2,1,1,0,0,1439104265,0.2
200,1,14,5,125,111,9,cork screw,7,practice,noise,CFS,go,absent,\ENTER,4,861811.147064283,861811.517327666,CAUGHT,Return,0.275615095859393,,2,1,2,0,0,1439104265,0.2
200,1,14,5,125,111,9,cork screw,7,practice,study,CFS,go,absent,j,NaN,861712.325140608,861712.695354186,CAUGHT,j,0.274748493684456,,3,0.6,1,0,0,1439104265,0.2
200,1,14,5,125,111,9,cork screw,7,practice,study,CFS,go,absent,j,NaN,861740.983078167,861741.353314987,CAUGHT,j,0.27456346154213,,3,0.6,2,0,0,1439104265,0.2
200,1,14,5,187,2,10,jacket,8,practice,name,CFS,go,absent,NA,30,861759.149745287,861759.154459228,OK,NO RESPONSE,NaN,,9,0,1,0,0,1439104265,0.2
200,1,14,5,187,2,10,jacket,8,practice,noise,CFS,go,absent,\ENTER,4,861812.690747702,861812.698027341,OK,NO RESPONSE,NaN,,8,1,1,0,0,1439104265,0.2
200,1,14,5,187,2,10,jacket,8,practice,noise,CFS,go,absent,\ENTER,4,861813.898786244,861814.268994388,CAUGHT,Return,0.275864119408652,,8,1,2,0,0,1439104265,0.2
200,1,14,5,187,2,10,jacket,8,practice,study,CFS,go,absent,j,NaN,861714.016165707,861714.386409469,CAUGHT,j,0.274627151316963,,10,0.6,1,0,0,1439104265,0.2
200,1,14,5,187,2,10,jacket,8,practice,study,CFS,go,absent,j,NaN,861742.664133267,861743.034337185,CAUGHT,j,0.274364544660784,,10,0.6,2,0,0,1439104265,0.2
200,1,14,5,110,102,11,lazy chair,1,practice,name,CFS,name,present,NA,30,861759.294523081,861759.404606906,Return,NO RESPONSE,0.0054106037132442,,1,1,1,0,0,1439104265,0.2
200,1,14,5,110,102,11,lazy chair,1,practice,name,CFS,name,present,NA,30,861820.723062513,861820.833125512,Return,NO RESPONSE,0.00548334873747081,,1,1,2,0,0,1439104265,0.2
200,1,14,5,110,102,11,lazy chair,1,practice,noise,CFS,name,present,NA,4,861815.549814832,861819.562309176,OK,NO RESPONSE,NaN,,8,1,1,0,0,1439104265,0.2
200,1,14,5,110,102,11,lazy chair,1,practice,study,CFS,name,present,j,NaN,861715.70723246,861716.077480751,CAUGHT,j,0.274510940304026,,10,0.6,1,0,0,1439104265,0.2
200,1,14,5,110,102,11,lazy chair,1,practice,study,CFS,name,present,j,NaN,861744.345184744,861744.715392285,CAUGHT,j,0.274600588716567,,10,0.6,2,0,0,1439104265,0.2
200,1,14,5,34,4,12,chess board,13,practice,name,Not Studied,go,present,NA,30,861759.544719658,861759.654772998,Return,NO RESPONSE,0.00553375715389848,,6,1,1,0,0,1439104265,0.2
200,1,14,5,34,4,12,chess board,13,practice,noise,Not Studied,go,present,\ENTER,4,861821.993837798,861826.006353573,OK,NO RESPONSE,NaN,,5,1,1,0,0,1439104265,0.2
200,1,14,5,34,4,12,chess board,13,practice,noise,Not Studied,go,present,\ENTER,4,861827.207131191,861827.577279268,CAUGHT,Return,0.275552311679348,,5,1,2,0,0,1439104265,0.2
200,1,14,5,34,4,12,chess board,13,practice,study,Not Studied,go,present,f,NaN,861717.398296799,861717.768546297,OK,f,0.274526938213967,,5,0,1,0,0,1439104265,0.2
200,1,14,5,34,4,12,chess board,13,practice,study,Not Studied,go,present,f,NaN,861746.026247993,861746.396446177,OK,f,0.274446948780678,,5,0,2,0,0,1439104265,0.2
200,1,14,5,20,71,13,briefcase,16,practice,name,Not Studied,go,absent,NA,30,861759.694120538,861759.704793236,OK,NO RESPONSE,NaN,,10,0,1,0,0,1439104265,0.2
200,1,14,5,20,71,13,briefcase,16,practice,noise,Not Studied,go,absent,\ENTER,4,861828.750943498,861828.7580864,OK,NO RESPONSE,NaN,,2,1,1,0,0,1439104265,0.2
200,1,14,5,20,71,13,briefcase,16,practice,noise,Not Studied,go,absent,\ENTER,4,861829.95886281,861830.329080916,CAUGHT,Return,0.275512769818306,,2,1,2,0,0,1439104265,0.2
200,1,14,5,20,71,13,briefcase,16,practice,study,Not Studied,go,absent,f,NaN,861719.089366572,861719.459610636,OK,f,0.274544445215724,,11,0,1,0,0,1439104265,0.2
200,1,14,5,20,71,13,briefcase,16,practice,study,Not Studied,go,absent,f,NaN,861747.707205898,861748.07748558,OK,f,0.274578855722211,,11,0,2,0,0,1439104265,0.2
200,1,14,5,146,147,14,hinge,4,practice,name,CFS,go,present,NA,30,861759.844894518,861759.954952385,Return,NO RESPONSE,0.00538917258381844,,4,1,1,0,0,1439104265,0.2
200,1,14,5,146,147,14,hinge,4,practice,noise,CFS,go,present,\ENTER,4,861831.609883249,861835.622389365,OK,NO RESPONSE,NaN,,5,1,1,0,0,1439104265,0.2
200,1,14,5,146,147,14,hinge,4,practice,noise,CFS,go,present,\ENTER,4,861836.833143019,861837.203357804,CAUGHT,Return,0.275617812527344,,5,1,2,0,0,1439104265,0.2
200,1,14,5,146,147,14,hinge,4,practice,study,CFS,go,present,j,NaN,861720.780397707,861721.150628188,CAUGHT,j,0.274471398442984,,6,0.6,1,0,0,1439104265,0.2
200,1,14,5,146,147,14,hinge,4,practice,study,CFS,go,present,j,NaN,861749.388354872,861749.758576297,CAUGHT,j,0.274505205103196,,6,0.6,2,0,0,1439104265,0.2
200,1,14,5,14,139,15,binoculars,14,practice,name,Not Studied,nogo,present,NA,30,861760.08507763,861760.195138516,Return,NO RESPONSE,0.00532789772842079,,2,1,1,0,0,1439104265,0.2
200,1,14,5,14,139,15,binoculars,14,practice,noise,Not Studied,nogo,present,z,4,861838.484193642,861842.496682553,OK,NO RESPONSE,NaN,,6,0,1,0,0,1439104265,0.2
200,1,14,5,14,139,15,binoculars,14,practice,noise,Not Studied,nogo,present,z,4,861843.697451417,861853.083339597,OK,NO RESPONSE,NaN,,6,0,2,0,0,1439104265,0.2
200,1,14,5,14,139,15,binoculars,14,practice,study,Not Studied,nogo,present,f,NaN,861722.461478464,861722.83168691,OK,f,0.274485585163347,,10,0,1,0,0,1439104265,0.2
200,1,14,5,14,139,15,binoculars,14,practice,study,Not Studied,nogo,present,f,NaN,861751.069409971,861751.439602721,OK,f,0.274448156123981,,10,0,2,0,0,1439104265,0.2
200,1,14,5,23,53,16,bucket,2,practice,name,CFS,go,present,NA,30,861760.335212933,861760.445254501,Return,NO RESPONSE,0.00535808235872537,,8,1,1,0,0,1439104265,0.2
200,1,14,5,23,53,16,bucket,2,practice,noise,CFS,go,present,\ENTER,4,861854.374162036,861858.386676,OK,NO RESPONSE,NaN,,1,1,1,0,0,1439104265,0.2
200,1,14,5,23,53,16,bucket,2,practice,noise,CFS,go,present,\ENTER,4,861859.597387999,861859.967627536,Return,Return,0.275558348745108,,1,1,2,0,0,1439104265,0.2
200,1,14,5,23,53,16,bucket,2,practice,study,CFS,go,present,j,NaN,861724.142501567,861724.512780344,CAUGHT,j,0.274516373523511,,1,0.6,1,0,0,1439104265,0.2
200,1,14,5,23,53,16,bucket,2,practice,study,CFS,go,present,j,NaN,861752.750432773,861753.120661443,CAUGHT,j,0.274449061718769,,1,0.6,2,0,0,1439104265,0.2
200,1,14,5,26,52,17,camera,5,practice,name,CFS,nogo,present,NA,30,861760.575347448,861760.685437009,Return,NO RESPONSE,0.005581448902376,,11,1,1,0,0,1439104265,0.2
