participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
1,7,0.6,right,\RIGHT,1,1,0,868609.081315412,868609.081315412,0.00953432184178382
1,7,0.6,right,\RIGHT,1,2,0,868609.176325544,868609.181356795,0.0895626592682675
1,7,0.6,right,\RIGHT,1,3,0,868609.271335675,868609.231408426,0.0395729070296511
1,7,0.6,right,\RIGHT,1,4,0,868609.366345807,868609.28143923,-0.000366868567653
1,7,0.6,right,\RIGHT,1,5,0,868609.461355938,868609.371494615,-0.000261234235949814
1,7,0.6,right,\RIGHT,1,6,0,868609.556366069,868609.47154113,-0.000249842531047761
1,7,0.6,right,\RIGHT,1,7,0,868609.651376201,868609.561610401,-0.000247349264100194
1,7,0.6,right,\RIGHT,1,8,0.015,868609.746386332,868609.661662952,0.00973593140952289
1,7,0.6,right,\RIGHT,1,9,0.03,868609.841396464,868609.751688455,-0.000291117001324892
1,7,0.6,right,\RIGHT,1,10,0.045,868609.936406595,868609.851788397,0.00978332140948623
1,7,0.6,right,\RIGHT,1,11,0.06,868610.031416727,868609.941829294,-0.000275722821243107
1,7,0.6,right,\RIGHT,1,12,0.075,868610.126426858,868610.041879733,0.00973381847143173
1,7,0.6,right,\RIGHT,1,13,0.09,868610.22143699,868610.131929987,-0.000266365590505302
1,7,0.6,right,\RIGHT,1,14,0.105,868610.316447121,868610.232024797,0.00977819005493075
1,7,0.6,right,\RIGHT,1,15,0.12,868610.411457253,868610.32204366,-0.000297757680527866
1,7,0.6,right,\RIGHT,1,16,0.135,868610.506467384,868610.422147525,0.00978724542073905
1,7,0.6,right,\RIGHT,1,17,0.15,868610.601477516,868610.512217702,-0.000246443785727024
1,7,0.6,right,\RIGHT,1,18,0.165,868610.696487647,868610.612240974,0.00970665237400681
1,7,0.6,right,\RIGHT,1,19,0.18,868610.791497779,868610.702289719,-0.000267874915152788
1,7,0.6,right,\RIGHT,1,20,0.195,868610.88650791,868610.802355854,0.00974951463285834
1,7,0.6,right,\RIGHT,1,21,0.21,868610.981518042,868610.892441726,-0.000230747740715742
1,7,0.6,right,\RIGHT,1,22,0.225,868611.076528173,868610.982168703,-0.000589643488638103
1,7,0.6,right,\RIGHT,1,23,0.24,868611.171538305,868611.082526723,6.16633333265781e-05
1,7,0.6,right,\RIGHT,1,24,0.255,868611.266548436,868611.172653043,-0.00019030028488487
1,7,0.6,right,\RIGHT,1,25,0.27,868611.361558568,868611.272646433,-0.000302967615425587
1,7,0.6,right,\RIGHT,1,26,0.285,868611.456568699,868611.362702422,-0.00026063050609082
1,7,0.6,right,\RIGHT,1,27,0.3,868611.551578831,868611.462786668,-0.000212111743167043
1,7,0.6,right,\RIGHT,1,28,0.315,868611.646588962,868611.562847671,0.00974438316188753
1,7,0.6,right,\RIGHT,1,29,0.33,868611.741599094,868611.652900944,-0.000263347057625651
1,7,0.6,right,\RIGHT,1,30,0.345,868611.836609225,868611.742895357,-0.000322207342833281
1,7,0.6,right,\RIGHT,1,31,0.36,868611.931619357,868611.842999222,-0.00019249168690294
1,7,0.6,right,\RIGHT,1,32,0.375,868612.026629488,868611.933055514,-0.000260328641161323
1,7,0.6,right,\RIGHT,1,33,0.39,868612.12163962,868612.033125572,-0.00022629857994616
1,7,0.6,right,\RIGHT,1,34,0.405,868612.216649751,868612.12317794,-0.000264252652414143
1,7,0.6,right,\RIGHT,1,35,0.42,868612.311659883,868612.223262487,-0.000211809878237545
1,7,0.6,right,\RIGHT,1,36,0.435,868612.406670014,868612.313277123,-0.000301983556710184
1,7,0.6,right,\RIGHT,1,37,0.45,868612.501680146,868612.413401515,-0.000171966035850346
1,7,0.6,right,\RIGHT,1,38,0.465,868612.596690277,868612.50341766,-0.000300474348478019
1,7,0.6,right,\RIGHT,1,39,0.48,868612.691700409,868612.603497982,-0.000216035754419863
1,7,0.6,right,\RIGHT,1,40,0.495,868612.78671054,868612.693564536,-0.000250065815635026
1,7,0.6,right,\RIGHT,1,41,0.51,868612.881720672,868612.793579357,-0.000281536485999823
1,7,0.6,right,\RIGHT,1,42,0.525,868612.976730803,868612.883657683,-0.000238293898291886
1,7,0.6,right,\RIGHT,1,43,0.54,868613.071740935,868612.983716875,-0.00023716501891613
1,7,0.6,right,\RIGHT,1,44,0.555,868613.166751066,868613.073775883,-0.000257612089626491
1,7,0.6,right,\RIGHT,1,45,0.57,868613.261761197,868613.173856204,-0.000216035754419863
1,7,0.6,right,\RIGHT,1,46,0.585,868613.356771329,868613.263922457,-0.000250367680564523
1,7,0.6,right,\RIGHT,1,47,0.6,868613.45178146,868613.363958105,-0.000260709086433053
1,7,0.6,right,\RIGHT,1,48,0.6,868613.546791592,868613.454013491,-0.000261234235949814
1,7,0.6,right,\RIGHT,1,49,0.6,868613.641801723,868613.55411313,-0.000196717563085258
1,7,0.6,right,\RIGHT,1,50,0.6,868613.736811855,868613.654156928,0.00972717790864408
1,7,0.6,right,\RIGHT,1,51,0.6,868613.831821986,868613.74422137,-0.000252178753726184
1,7,0.6,right,\RIGHT,1,52,0.6,868613.926832118,868613.83425623,-0.000281759770587087
1,7,0.6,right,\RIGHT,1,53,0.6,868614.021842249,868613.934349229,-0.000203358242288232
1,7,0.6,right,\RIGHT,1,54,0.6,868614.116852381,868614.024395559,-0.000270289601758122
1,7,0.6,right,\RIGHT,1,55,0.6,868614.211862512,868614.124436037,-0.000255879480391741
1,7,0.6,right,\RIGHT,1,56,0.6,868614.306872644,868614.214490819,-0.000261837965808809
1,7,0.6,right,\RIGHT,1,57,0.6,868614.401882775,868614.31450896,-0.000278216204605997
1,7,0.6,right,\RIGHT,1,58,0.6,868614.496892907,868614.404628036,-0.000197544461116195
1,7,0.6,right,\RIGHT,1,59,0.6,868614.591903038,868614.504696283,-0.000228109653107822
1,7,0.6,right,\RIGHT,1,60,0.6,868614.68691317,868614.594766158,-0.000246745534241199
1,7,0.6,right,\RIGHT,1,61,0.6,868614.781923301,868614.694801504,-0.00026101095136255
1,7,0.6,right,\RIGHT,1,62,0.6,868614.876933433,868614.784877717,-0.000240406719967723
1,7,0.6,right,\RIGHT,1,63,0.6,868614.971943564,868614.884915177,-0.000258898013271391
1,7,0.6,right,\RIGHT,1,64,0.6,868615.066953696,868614.974969959,-0.000261837965808809
1,7,0.6,right,\RIGHT,1,65,0.6,868615.161963827,868615.075054808,-0.000211508013308048
1,7,0.6,right,\RIGHT,1,66,0.6,868615.256973959,868615.165099025,-0.000272402539849281
1,7,0.6,right,\RIGHT,1,67,0.6,868615.35198409,868615.265151275,-0.000244107446633279
