participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt,eyes_1,eyes_2,seed,rt_robo
3,\RIGHT,right,7,1,0.6,11,874975.946253764,874989.834970701,OK,RightArrow,13.7727978087496,0,1,1440431877,0.2
3,\LEFT,left,5,2,0.6,5,874993.026955522,874998.020077641,OK,LeftArrow,4.84365754993632,1,0,1440431877,0.2
3,\LEFT,right,3,3,0.6,3,874999.63108376,875002.262733784,OK,LeftArrow,2.47924878785852,0,1,1440431877,0.2
3,\LEFT,left,1,4,0.6,10,875003.94345655,875007.345918232,OK,LeftArrow,3.27866887976415,1,0,1440431877,0.2
3,\LEFT,left,3,5,0.6,8,875008.936921567,875011.378447053,OK,RightArrow,2.3170212310506,1,0,1440431877,0.2
3,\RIGHT,right,3,6,0.6,4,875014.170198123,875016.711790649,OK,RightArrow,2.41938472155016,0,1,1440431877,0.2
3,\RIGHT,right,1,7,0.6,11,875018.382841942,875021.774972917,OK,RightArrow,3.25446831341833,0,1,1440431877,0.2
3,\RIGHT,right,4,8,0.6,5,875023.335961815,875025.777470397,OK,RightArrow,2.34115327801555,0,1,1440431877,0.2
3,\RIGHT,left,10,9,0.6,11,875027.338468653,875030.260287014,OK,RightArrow,2.80242135457229,1,0,1440431877,0.2
3,\LEFT,left,2,10,0.6,5,875031.880969435,875034.682721897,OK,LeftArrow,2.66773218580056,1,0,1440431877,0.2
3,\RIGHT,left,5,11,0.6,3,875040.736861137,875042.618031905,OK,RightArrow,1.69941764709074,1,0,1440431877,0.2
3,\RIGHT,right,2,12,0.6,9,875044.148986444,875046.760617989,OK,RightArrow,2.44707674963865,0,1,1440431877,0.2
3,\LEFT,left,4,13,0.6,3,875048.271577291,875050.332860641,OK,LeftArrow,1.94029681803659,1,0,1440431877,0.2
3,\LEFT,left,9,14,0.6,10,875051.853482965,875054.215294034,OK,LeftArrow,2.19813434535172,1,0,1440431877,0.2
3,\LEFT,right,9,15,0.6,5,875055.706249949,875057.867584341,OK,LeftArrow,2.03316028462723,0,1,1440431877,0.2
3,\LEFT,right,6,16,0.6,1,875059.328503483,875061.299740804,OK,LeftArrow,1.81068169383798,0,1,1440431877,0.2
3,\RIGHT,right,8,17,0.6,2,875062.810688334,875065.042045447,OK,RightArrow,2.07234271441121,0,1,1440431877,0.2
3,\RIGHT,left,2,18,0.6,7,875066.542679476,875068.804415355,OK,RightArrow,2.16411228815559,1,0,1440431877,0.2
3,\RIGHT,left,9,19,0.6,9,875070.195316606,875072.736923318,OK,RightArrow,2.35924537095707,1,0,1440431877,0.2
3,\RIGHT,left,1,20,0.6,8,875074.05773333,875076.799448164,OK,RightArrow,2.59268250945024,1,0,1440431877,0.2
3,\RIGHT,right,10,21,0.6,8,875079.771315741,875082.222848353,OK,RightArrow,2.33485494297929,0,1,1440431877,0.2
3,\LEFT,right,10,22,0.6,4,875083.67376399,875085.554939889,OK,LeftArrow,1.7682269429788,0,1,1440431877,0.2
3,\LEFT,right,7,23,0.6,8,875087.025870986,875089.447372258,OK,LeftArrow,2.28792953933589,0,1,1440431877,0.2
3,\RIGHT,left,4,24,0.6,10,875090.857956938,875093.599979957,OK,RightArrow,2.59159706823993,1,0,1440431877,0.2
3,\LEFT,right,8,25,0.6,6,875095.110891568,875098.122491238,OK,LeftArrow,2.8823866059538,0,1,1440431877,0.2
3,\LEFT,left,6,26,0.6,1,875099.573732266,875102.375479295,OK,LeftArrow,2.69135290454142,1,0,1440431877,0.2
3,\LEFT,right,4,27,0.6,1,875103.846398621,875105.817646205,OK,LeftArrow,1.82651567086577,0,1,1440431877,0.2
3,\LEFT,right,2,28,0.6,3,875107.368611979,875110.080327468,OK,LeftArrow,2.53608834929764,0,1,1440431877,0.2
3,\LEFT,left,8,29,0.6,3,875111.541230309,875114.463062858,OK,LeftArrow,2.7552511531394,1,0,1440431877,0.2
3,\RIGHT,right,9,30,0.6,1,875115.79389539,875117.93523696,OK,RightArrow,2.00636806176044,0,1,1440431877,0.2
3,\RIGHT,left,7,31,0.6,2,875120.556834279,875122.317975369,OK,RightArrow,1.65120335749816,1,0,1440431877,0.2
3,\RIGHT,right,5,32,0.6,11,875123.70880961,875126.530602888,OK,RightArrow,2.63503583974671,0,1,1440431877,0.2
3,\RIGHT,left,8,33,0.6,7,875127.871129834,875130.232955693,OK,RightArrow,2.2325011115754,1,0,1440431877,0.2
3,\LEFT,left,10,34,0.6,6,875131.553772647,875134.095359438,OK,LeftArrow,2.43753537267912,1,0,1440431877,0.2
3,\LEFT,right,1,35,0.6,2,875135.476210398,875138.678233436,OK,LeftArrow,3.10685497068334,0,1,1440431877,0.2
3,\RIGHT,left,6,36,0.6,3,875140.139175819,875142.580687722,OK,RightArrow,2.28377914591692,1,0,1440431877,0.2
3,\LEFT,left,7,37,0.6,10,875143.931528471,875147.513429315,OK,LeftArrow,3.45911439962219,1,0,1440431877,0.2
3,\RIGHT,right,6,38,0.6,4,875148.824261781,875151.376198596,OK,RightArrow,2.37427251157351,0,1,1440431877,0.2
3,\RIGHT,left,3,39,0.6,7,875152.866795314,875155.608861799,OK,RightArrow,2.58747293567285,1,0,1440431877,0.2
3,\LEFT,right,5,40,0.6,8,875157.07977539,875159.901546633,OK,LeftArrow,2.6862510900246,0,1,1440431877,0.2
