participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
4,1,1,4,110,102,1,lazy chair,9,practice,name,CFS,nogo,absent,NA,30,1130003.97357844,1130003.97845659,OK,NO RESPONSE,NaN,,9,0,1,0,0,1465856477,0.2
4,1,1,4,110,102,1,lazy chair,9,practice,noise,CFS,nogo,absent,z,4,1130168.54532667,1130168.55158124,OK,NO RESPONSE,NaN,,6,0,1,0,0,1465856477,0.2
4,1,1,4,110,102,1,lazy chair,9,practice,noise,CFS,nogo,absent,z,4,1130171.46308489,1130180.85932038,OK,NO RESPONSE,NaN,,6,0,2,0,0,1465856477,0.2
4,1,1,4,110,102,1,lazy chair,9,practice,study,CFS,nogo,absent,j,NaN,1129323.00151074,1129334.66887558,OK,f,11.5126771123614,,9,0.6,1,0,0,1465856477,0.2
4,1,1,4,110,102,1,lazy chair,9,practice,study,CFS,nogo,absent,j,NaN,1129618.15661381,1129631.25481634,OK,j,12.949885886861,2@,9,0.6,2,0,0,1465856477,0.2
4,1,1,4,125,111,2,cork screw,15,practice,name,Not Studied,go,absent,NA,30,1130004.01940965,1130004.02847804,OK,NO RESPONSE,NaN,,7,0,1,0,0,1465856477,0.2
4,1,1,4,125,111,2,cork screw,15,practice,noise,Not Studied,go,absent,\ENTER,4,1130183.68318342,1130183.69107973,OK,NO RESPONSE,NaN,,11,1,1,0,0,1465856477,0.2
4,1,1,4,125,111,2,cork screw,15,practice,noise,Not Studied,go,absent,\ENTER,4,1130185.99252326,1130188.63416954,Return,Return,2.50046499492601,,11,1,2,0,0,1465856477,0.2
4,1,1,4,125,111,2,cork screw,15,practice,study,Not Studied,go,absent,f,NaN,1129339.51189533,1129358.40375691,OK,NO RESPONSE,NaN,,2,0,1,0,0,1465856477,0.2
4,1,1,4,125,111,2,cork screw,15,practice,study,Not Studied,go,absent,f,NaN,1129639.35986023,1129653.87898962,OK,f,14.3373463863973,,2,0,2,0,0,1465856477,0.2
4,1,1,4,122,32,3,lure,2,practice,name,CFS,go,present,NA,30,1130004.16858988,1130021.18920723,Return,fish hook,16.9092056932859,,8,1,1,0,0,1465856477,0.2
4,1,1,4,122,32,3,lure,2,practice,noise,CFS,go,present,\ENTER,4,1130190.83553576,1130194.84806753,OK,NO RESPONSE,NaN,,3,1,1,0,0,1465856477,0.2
4,1,1,4,122,32,3,lure,2,practice,noise,CFS,go,present,\ENTER,4,1130199.44095409,1130201.32218341,Return,Return,1.74740977725014,,3,1,2,0,0,1465856477,0.2
4,1,1,4,122,32,3,lure,2,practice,study,CFS,go,present,j,NaN,1129364.61765399,1129374.10359503,OK,f,9.38243143004365,,8,0.6,1,0,0,1465856477,0.2
4,1,1,4,122,32,3,lure,2,practice,study,CFS,go,present,j,NaN,1129656.46063691,1129666.02660538,OK,j,9.37994240154512,2@,8,0.6,2,0,0,1465856477,0.2
4,1,1,4,20,71,4,briefcase,7,practice,name,CFS,go,absent,NA,30,1130021.2350982,1130021.2392652,OK,NO RESPONSE,NaN,,5,0,1,0,0,1465856477,0.2
4,1,1,4,20,71,4,briefcase,7,practice,noise,CFS,go,absent,\ENTER,4,1130203.92683023,1130203.93376697,OK,NO RESPONSE,NaN,,11,1,1,0,0,1465856477,0.2
4,1,1,4,20,71,4,briefcase,7,practice,noise,CFS,go,absent,\ENTER,4,1130206.04508685,1130208.30651757,Return,Return,2.14289155346341,,11,1,2,0,0,1465856477,0.2
4,1,1,4,20,71,4,briefcase,7,practice,study,CFS,go,absent,j,NaN,1129379.6470922,1129391.69462915,OK,f,11.8960578506812,,4,0.6,1,0,0,1465856477,0.2
4,1,1,4,20,71,4,briefcase,7,practice,study,CFS,go,absent,j,NaN,1129671.1998754,1129683.0572866,OK,j,11.7118721473962,2@,4,0.6,2,0,0,1465856477,0.2
4,1,1,4,34,4,5,chess board,4,practice,name,CFS,go,present,NA,30,1130021.37936769,1130032.07606026,Return,chess board,10.5859102746472,,2,1,1,0,0,1465856477,0.2
4,1,1,4,34,4,5,chess board,4,practice,noise,CFS,go,present,\ENTER,4,1130210.54793221,1130214.56042173,OK,NO RESPONSE,NaN,,8,1,1,0,0,1465856477,0.2
4,1,1,4,34,4,5,chess board,4,practice,noise,CFS,go,present,\ENTER,4,1130216.85152428,1130219.49351286,Return,Return,2.53586618998088,,8,1,2,0,0,1465856477,0.2
4,1,1,4,34,4,5,chess board,4,practice,study,CFS,go,present,j,NaN,1129395.22685114,1129404.24249586,OK,j,8.84363943920471,1!,1,0.6,1,0,0,1465856477,0.2
4,1,1,4,34,4,5,chess board,4,practice,study,CFS,go,present,j,NaN,1129688.26056864,1129698.79718673,OK,f,10.38636660669,,1,0.6,2,0,0,1465856477,0.2
4,1,1,4,117,135,6,plane,11,practice,name,Not Studied,go,present,NA,30,1130032.23615014,1130037.97980071,Return,airplane,5.64077394735068,,10,1,1,0,0,1465856477,0.2
4,1,1,4,117,135,6,plane,11,practice,noise,Not Studied,go,present,\ENTER,4,1130222.19522062,1130226.20773971,OK,NO RESPONSE,NaN,,11,1,1,0,0,1465856477,0.2
4,1,1,4,117,135,6,plane,11,practice,noise,Not Studied,go,present,\ENTER,4,1130228.68926322,1130232.00134593,Return,Return,3.18547066510655,,11,1,2,0,0,1465856477,0.2
4,1,1,4,117,135,6,plane,11,practice,study,Not Studied,go,present,f,NaN,1129415.86979295,1129428.86793539,OK,j,12.8153899000026,,8,0,1,0,0,1465856477,0.2
4,1,1,4,117,135,6,plane,11,practice,study,Not Studied,go,present,f,NaN,1129701.22834046,1129714.89726313,OK,f,13.4977456573397,,8,0,2,0,0,1465856477,0.2
4,1,1,4,14,139,7,binoculars,5,practice,name,CFS,nogo,present,NA,30,1130038.12983879,1130051.43821,Return,hockey stick,13.1304515418597,,10,1,1,0,0,1465856477,0.2
4,1,1,4,14,139,7,binoculars,5,practice,noise,CFS,nogo,present,z,4,1130234.24276149,1130238.25526851,OK,NO RESPONSE,NaN,,6,0,1,0,0,1465856477,0.2
4,1,1,4,14,139,7,binoculars,5,practice,noise,CFS,nogo,present,z,4,1130240.14644761,1130249.54236918,OK,NO RESPONSE,NaN,,6,0,2,0,0,1465856477,0.2
4,1,1,4,14,139,7,binoculars,5,practice,study,CFS,nogo,present,j,NaN,1129432.58025487,1129443.77728567,OK,j,11.0321388349403,1!,1,0.6,1,0,0,1465856477,0.2
4,1,1,4,14,139,7,binoculars,5,practice,study,CFS,nogo,present,j,NaN,1129717.65898648,1129729.51642001,OK,f,11.6982585552614,,1,0.6,2,0,0,1465856477,0.2
4,1,1,4,40,88,8,cookie cutter,8,practice,name,CFS,go,absent,NA,30,1130051.48532195,1130051.49823012,OK,NO RESPONSE,NaN,,2,0,1,0,0,1465856477,0.2
4,1,1,4,40,88,8,cookie cutter,8,practice,noise,CFS,go,absent,\ENTER,4,1130251.64602819,1130251.65334134,OK,NO RESPONSE,NaN,,6,1,1,0,0,1465856477,0.2
4,1,1,4,40,88,8,cookie cutter,8,practice,noise,CFS,go,absent,\ENTER,4,1130253.85506072,1130257.44731279,Return,Return,3.41832493734546,,6,1,2,0,0,1465856477,0.2
4,1,1,4,40,88,8,cookie cutter,8,practice,study,CFS,go,absent,j,NaN,1129456.11502717,1129470.06376966,OK,f,13.8159706534352,,2,0.6,1,0,0,1465856477,0.2
4,1,1,4,40,88,8,cookie cutter,8,practice,study,CFS,go,absent,j,NaN,1129733.75908732,1129751.89043837,OK,j,18.0130316314753,1!,2,0.6,2,0,0,1465856477,0.2
4,1,1,4,39,18,9,mouse,6,practice,name,CFS,go,absent,NA,30,1130051.52502868,1130051.53823991,OK,NO RESPONSE,NaN,,1,0,1,0,0,1465856477,0.2
4,1,1,4,39,18,9,mouse,6,practice,noise,CFS,go,absent,\ENTER,4,1130259.62059066,1130259.62865933,OK,NO RESPONSE,NaN,,7,1,1,0,0,1465856477,0.2
