participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
244,8,0.6,right,\LEFT,1,1,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,2,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,3,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,4,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,5,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,6,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,7,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,8,0,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,9,0.015,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,10,0.03,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,11,0.045,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,12,0.06,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,13,0.075,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,14,0.09,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,15,0.105,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,16,0.12,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,17,0.135,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,18,0.15,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,19,0.16499999999999998,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,20,0.18,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,21,0.195,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,22,0.21,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,23,0.22499999999999998,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,24,0.24,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,25,0.255,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,26,0.27,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,27,0.285,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,28,0.3,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,29,0.315,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,30,0.32999999999999996,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,31,0.345,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,32,0.36,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,33,0.375,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,34,0.39,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,35,0.40499999999999997,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,36,0.42,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,37,0.435,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,38,0.44999999999999996,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,39,0.46499999999999997,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,40,0.48,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,41,0.495,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,42,0.51,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,43,0.525,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,44,0.54,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,45,0.5549999999999999,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,46,0.57,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,47,0.585,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,48,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,49,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,50,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,51,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,52,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,53,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,54,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,55,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,56,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,57,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,58,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,59,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,60,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,61,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,62,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,63,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,64,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,65,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,66,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,67,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,68,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,69,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,70,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,71,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,72,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,73,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,74,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,75,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,76,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,77,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,78,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,79,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,80,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,81,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,82,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,83,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,84,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,85,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,86,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,87,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,88,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,89,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,90,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,91,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,92,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,93,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,94,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,95,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,96,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,97,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,98,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,99,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,100,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,101,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,102,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,103,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,104,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,105,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,106,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,107,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,108,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,109,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,110,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,111,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,112,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,113,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,114,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,115,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,116,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,117,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,118,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,119,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,120,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,121,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,122,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,123,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,124,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,125,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,126,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,127,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,128,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,129,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,130,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,131,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,132,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,133,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,134,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,135,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,136,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,137,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,138,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,139,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,140,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,141,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,142,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,143,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,144,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,145,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,146,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,147,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,148,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,149,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,150,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,151,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,152,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,153,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,154,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,155,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,156,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,157,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,158,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,159,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,160,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,161,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,162,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,163,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,164,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,165,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,166,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,167,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,168,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,169,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,170,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,171,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,172,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,173,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,174,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,175,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,176,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,177,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,178,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,179,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,180,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,181,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,182,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,183,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,184,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,185,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,186,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,187,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,188,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,189,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,190,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,191,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,192,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,193,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,194,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,195,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,196,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,197,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,198,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,199,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,200,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,201,0.6,NaN,NaN,NaN
244,8,0.6,right,\LEFT,1,202,0.6,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,1,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,2,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,3,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,4,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,5,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,6,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,7,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,8,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,9,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,10,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,11,0,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,12,0.015,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,13,0.03,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,14,0.045,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,15,0.06,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,16,0.075,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,17,0.09,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,18,0.105,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,19,0.12,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,20,0.135,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,21,0.15,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,22,0.16499999999999998,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,23,0.18,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,24,0.195,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,25,0.21,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,26,0.22499999999999998,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,27,0.24,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,28,0.255,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,29,0.27,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,30,0.285,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,31,0.3,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,32,0.315,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,33,0.32999999999999996,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,34,0.345,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,35,0.36,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,36,0.375,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,37,0.39,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,38,0.40499999999999997,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,39,0.42,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,40,0.435,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,41,0.44999999999999996,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,42,0.46499999999999997,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,43,0.48,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,44,0.495,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,45,0.51,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,46,0.525,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,47,0.54,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,48,0.5549999999999999,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,49,0.57,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,50,0.585,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,51,0.6,NaN,NaN,NaN
244,11,0.6,left,\RIGHT,2,52,0.6,NaN,NaN,NaN
