participant,answer,arrow_to,rep,trial,max_alpha,jitter,trial_start,trial_end,exitflag,response,rt
1,\RIGHT,right,3,1,0.6,7,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,4,2,0.6,9,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,8,3,0.6,1,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,6,4,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,10,5,0.6,10,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,3,6,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,8,7,0.6,11,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,6,8,0.6,10,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,4,9,0.6,4,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,8,10,0.6,10,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,10,11,0.6,10,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,6,12,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,5,13,0.6,7,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,1,14,0.6,3,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,2,15,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,1,16,0.6,4,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,9,17,0.6,8,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,5,18,0.6,3,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,7,19,0.6,8,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,9,20,0.6,9,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,8,21,0.6,11,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,5,22,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,2,23,0.6,7,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,1,24,0.6,6,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,4,25,0.6,3,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,3,26,0.6,6,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,5,27,0.6,10,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,9,28,0.6,7,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,7,29,0.6,4,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,2,30,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,2,31,0.6,11,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,3,32,0.6,1,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,7,33,0.6,3,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,right,4,34,0.6,9,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,10,35,0.6,8,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,6,36,0.6,2,NaN,NaN,NaN,NaN,NaN
1,\RIGHT,left,9,37,0.6,1,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,7,38,0.6,6,NaN,NaN,NaN,NaN,NaN
1,\LEFT,right,1,39,0.6,5,NaN,NaN,NaN,NaN,NaN
1,\LEFT,left,10,40,0.6,1,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,5,1,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,1,2,0.6,5,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,8,3,0.6,1,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,9,4,0.6,8,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,1,5,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,7,6,0.6,1,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,10,7,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,7,8,0.6,11,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,10,9,0.6,6,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,4,10,0.6,5,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,10,11,0.6,11,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,6,12,0.6,4,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,9,13,0.6,2,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,6,14,0.6,1,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,8,15,0.6,7,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,8,16,0.6,1,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,10,17,0.6,10,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,3,18,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,6,19,0.6,5,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,6,20,0.6,4,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,3,21,0.6,2,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,2,22,0.6,6,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,2,23,0.6,10,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,7,24,0.6,1,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,5,25,0.6,3,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,5,26,0.6,4,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,7,27,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,3,28,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,right,2,29,0.6,2,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,8,30,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,9,31,0.6,8,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,9,32,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,5,33,0.6,6,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,4,34,0.6,11,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,3,35,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,4,36,0.6,8,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,2,37,0.6,2,NaN,NaN,NaN,NaN,NaN
2,\LEFT,left,1,38,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\RIGHT,left,1,39,0.6,9,NaN,NaN,NaN,NaN,NaN
2,\LEFT,right,4,40,0.6,5,NaN,NaN,NaN,NaN,NaN
3,\RIGHT,right,7,1,0.6,11,NaN,NaN,NaN,NaN,NaN
3,\LEFT,left,5,2,0.6,5,NaN,NaN,NaN,NaN,NaN
3,\LEFT,right,3,3,0.6,3,NaN,NaN,NaN,NaN,NaN
